"Path","Lines"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\td_game.dart","997"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\ui\td_game_page.dart","832"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\ui\td_map_select_page.dart","606"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\td_simulation.dart","585"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\wave_manager.dart","526"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\game_renderer.dart","489"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\entities\tower.dart","479"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\ui\widgets\tower_stats_modal.dart","414"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\pathfinding_service.dart","397"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\enemy_manager.dart","343"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\data\td_random_maps.dart","339"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\ui\td_settings_page.dart","280"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\ui\tutorial_overlay.dart","265"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\ui\td_leaderboard_page.dart","247"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\ui\app_theme.dart","246"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\ui\dialogs\upgrade_dialog.dart","245"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\entities\enemy.dart","235"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\services\td_prefs.dart","226"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\entities\missile.dart","207"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\entities\enemy_type.dart","191"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\particle_system.dart","186"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\ui\td_entry_menu.dart","177"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\ui\widgets\game_stats_bar.dart","164"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\data\td_maps.dart","163"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\ui\widgets\game_hud_widgets.dart","155"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\tower_manager.dart","149"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\services\sound_service.dart","133"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\game_utils.dart","115"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\ui\dialogs\settings_dialog.dart","114"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\ui\widgets\tower_store_bar.dart","105"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\tile_color_map.dart","101"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\ui\dialogs\sell_dialog.dart","85"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\ui\dialogs\quit_dialog.dart","79"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\services\logger.dart","56"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\models\map_key.dart","55"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\collision_detector.dart","55"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\game_state.dart","54"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\ui\tower_info_panel.dart","46"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\core\interfaces\i_simulation.dart","44"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\providers\game_providers.dart","42"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\game_constants.dart","36"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\config\td_game_config.dart","36"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\core\validators\input_validator.dart","34"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\main.dart","28"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\entities\enemy_tower.dart","17"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\game\entities\entities.dart","10"
"C:\Users\prana\OneDrive\Desktop\game\flutter-tower\lib\core\interfaces\i_sound_service.dart","10"
